PROGR;CODICE;DESCRIZIONE;;;TARIFFA
571;88.99.3;DENSITOMETRIA OSSEA CON TECNICA DI ASSORBIMENTO A  RAGGI X;D11;43,38;43,38
572;88.99.4;DENSITOMETRIA OSSEA CON TC;D12;76,95;69,30
573;88.99.5;DENSITOMETRIA OSSEA AD ULTRASUONI;D29;17,56;17,56
574;89.01;ANAMNESI E VALUTAZIONE, DEFINITE BREVI;V20;12,91;12,91
575;89.03;ANAMNESI E VALUTAZIONE, DEFINITE COMPLESSIVE;V10;20,66;20,66
576;89.07;CONSULTO, DEFINITO COMPLESSIVO;V10;46,48;46,48
577;89.11;TONOMETRIA;D29;13,94;13,94
578;89.12;STUDIO DELLA FUNZIONE NASALE;D90;13,94;13,94
579;89.13;VISITA NEUROLOGICA;V10;20,66;20,66
580;89.14;ELETTROENCEFALOGRAMMA;D29;23,24;23,24
581;89.14.1;ELETTROENCEFALOGRAMMA CON SONNO FARMACOLOGICO;D29;34,86;34,86
582;89.14.2;ELETTROENCEFALOGRAMMA CON PRIVAZIONE DEL SONNO ;D29;34,86;34,86
583;89.14.3;ELETTROENCEFALOGRAMMA DINAMICO 24 Ore ;D29;46,48;46,48
584;89.14.4;ELETTROENCEFALOGRAMMA DINAMICO 12 Ore;D29;34,86;34,86
585;89.14.5;ELETTROENCEFALOGRAMMA CON ANALISI SPETTRALE;D29;34,86;34,86
586;89.15.1;POTENZIALI EVOCATI ACUSTICI ;D29;23,24;23,24
587;89.15.2;POTENZIALI EVOCATI STIMOLO ED EVENTO CORRELATI;D29;48,81;48,81
588;89.15.3;POTENZIALI EVOCATI MOTORI;D29;34,86;34,86
589;89.15.4;POTENZIALI EVOCATI SOMATO-SENSORIALI;D29;34,86;34,86
590;89.15.5;TEST NEUROFISIOLOGICI PER LA VALUTAZIONE DEL SISTEMA NERVOSO VEGETATIVO;D29;55,78;55,78
591;89.15.6;POLIGRAFIA;D29;46,48;46,48
592;89.15.7;POLIGRAFIA DINAMICA AMBULATORIALE;D29;46,48;46,48
593;89.15.8;POTENZIALI EVOCATI UDITIVI;D29;41,83;41,83
594;89.15.9;POTENZIALI EVOCATI UDITIVI;D29;92,96;92,96
595;89.17;POLISONNOGRAMMA;D29;139,44;139,44
596;89.18.1;TEST POLISONNOGRAFICI DEL LIVELLO DI VIGILANZA;D29;139,44;139,44
597;89.18.2;MONITORAGGIO PROTRATTO DEL CICLO SONNO-VEGLIA;D29;139,44;139,44
598;89.19.1;ELETTROENCEFALOGRAMMA CON VIDEOREGISTRAZIONE;D29;27,89;27,89
599;89.19.2;POLIGRAFIA CON VIDEOREGISTRAZIONE;D29;51,13;51,13
600;89.22;CISTOMETROGRAFIA;D29;55,78;55,78
601;89.23;ELETTROMIOGRAFIA DELLO SFINTERE URETRALE;D23;23,24;23,24
602;89.24;UROFLUSSOMETRIA;D29;11,62;11,62
603;89.25;PROFILO PRESSORIO URETRALE;D90;11,62;11,62
604;89.26;VISITA GINECOLOGICA;V10;20,66;20,66
605;89.32;MANOMETRIA ESOFAGEA;D29;67,14;67,14
606;89.32.1;MANOMETRIA ESOFAGEA 24 Ore;D29;92,96;92,96
607;89.37.1;SPIROMETRIA SEMPLICE;D29;23,24;23,24
608;89.37.2;SPIROMETRIA GLOBALE;D29;37,18;37,18
609;89.37.3;SPIROMETRIA SEPARATA DEI DUE POLMONI (METODICA DI ARNAUD);D29;46,48;46,48
610;89.37.4;TEST DI BRONCODILATAZIONE FARMACOLOGICA;D90;37,18;37,18
611;89.37.5;PROVA BRONCODINAMICA CON BRONCOCOSTRITTORE SPECIFICO O ASPECIFICO;D90;55,78;55,78
612;89.37.6;PROVA BRONCODINAMICA CON BRONCOCOSTRITTORE SPECIFICO ;D90;46,48;46,48
613;89.38.1;RESISTENZE DELLE VIE AEREE ;D90;23,24;23,24
614;89.38.2;SPIROMETRIA GLOBALE CON TECNICA PLETISMOGRAFICA;D29;23,24;23,24
615;89.38.3;DIFFUSIONE ALVEOLO-CAPILLARE  DEL CO;D90;23,24;23,24
616;89.38.4;COMPLIANCE POLMONARE STATICA E DINAMICA;D90;46,48;46,48
617;89.38.5;DETERMINAZIONE DEL PATTERN RESPIRATORIO A RIPOSO;D90;23,24;23,24
618;89.38.6;VALUTAZIONE DELLA VENTILAZIONE E DEI GAS ESPIRATI E RELATIVI PARAMETRI;D90;69,72;69,72
619;89.38.7;DETERMINAZIONE DELLE MASSIME PRESSIONI INSPIRATORIE ED ESPIRATORIE O;D90;46,48;46,48
620;89.38.8;TEST DI DISTRIBUZIONE DELLA VENTILAZIONE CON GAS NON RADIOATTIVI;D90;23,24;23,24
621;89.38.9;DETERMINAZIONE DELLA P O.1;D90;23,24;23,24
622;89.39.1;OSSERVAZIONE DERMATOLOGICA IN EPILUMINESCENZA;D90;6,97;6,97
623;89.39.2;OSSERVAZIONE DERMATOLOGICA IN EPIDIASCOPIA;D90;6,97;6,97
624;89.39.3;VALUTAZIONE DELLA SOGLIA DI SENSIBILITA' VIBRATORIA;D90;18,59;18,59
625;89.39.4;GUSTOMETRIA;D29;9,30;9,30
626;89.39.5;ELETTROGUSTOMETRIA;D29;7,44;7,44
627;89.41;TEST CARDIOVASCOLARE DA SFORZO CON PEDANA MOBILE;D29;55,78;55,78
628;89.42;TEST DA SFORZO DEI DUE GRADINI DI MASTERS;D29;18,59;18,59
629;89.43;TEST CARDIOVASCOLARE DA SFORZO CON CICLOERGOMETRO;D29;55,78;55,78
630;89.44;ALTRI TEST CARDIOVASCOLARI DA SFORZO;D29;55,78;55,78
631;89.44.1;PROVA DA SFORZO CARDIORESPIRATORIO ;D29;83,67;83,67
632;89.44.2;TEST DEL CAMMINO;R10;55,78;55,78
633;89.48.1;CONTROLLO E PROGRAMMAZIONE PACE-MAKER;D29;23,24;23,24
634;89.50;ELETTROCARDIOGRAMMA DINAMICO;D29;61,97;61,97
635;89.52;ELETTROCARDIOGRAMMA;D29;11,62;11,62
636;89.54;MONITORAGGIO ELETTROCARDIOGRAFICO;D29;46,48;46,48
637;89.58.1;FOTOPLETISMOGRAFIA DEGLI ARTI SUPERIORI O INFERIORI;D29;18,59;18,59
638;89.58.2;FOTOPLETISMOGRAFIA DEGLI ARTI SUPERIORI E INFERIORI;D29;27,89;27,89
639;89.58.3;FOTOPLETISMOGRAFIA DI ALTRI DISTRETTI ;D29;18,59;18,59
640;89.58.4;PLETISMOGRAFIA AD OCCLUSIONE VENOSA DEGLI ARTI SUPERIORI O INFERIORI;D29;18,59;18,59
641;89.58.5;PLETISMOGRAFIA AD OCCLUSIONE VENOSA DEGLI ARTI SUPERIORI E INFERIORI;D29;27,89;27,89
642;89.58.6;PLETISMOGRAFIA PENIENA;D29;20,66;20,66
643;89.58.7;PLETISMOGRAFIA DI ALTRI DISTRETTI ;D29;18,59;18,59
644;89.58.8;PLETISMOGRAFIA DI UN ARTO;D29;18,59;18,59
645;89.59.1;TEST  CARDIOVASCOLARI PER VALUTAZIONE DI NEUROPATIA AUTONOMICA;D29;41,32;41,32
646;89.61.1;MONITORAGGIO CONTINUO [24 Ore] DELLA PRESSIONE ARTERIOSA ;D29;41,32;41,32
647;89.62;MONITORAGGIO DELLA PRESSIONE VENOSA CENTRALE;D29;46,48;46,48
648;89.65.1;EMOGASANALISI ARTERIOSA SISTEMICA;L29;13,69;12,32
649;89.65.2;EMOGASANALISI DURANTE RESPIRAZIONE DI O2 AD ALTA CONCENTRAZIONE ;L29;18,59;12,32
650;89.65.3;EMOGASANALISI DURANTE RESPIRAZIONE DI O2 A BASSA CONCENTRAZIONE;L29;18,59;12,32
651;89.65.4;MONITORAGGIO TRANSCUTANEO DI O2 E CO2;D29;18,59;18,59
652;89.65.5;MONITORAGGIO INCRUENTO DELLA SATURAZIONE ARTERIOSA;D29;9,30;9,30
653;89.65.6;EMOGASANALISI PRIMA E DOPO IPERVENTILAZIONE;L29;18,59;12,32
654;89.66;EMOGASANALISI DI SANGUE MISTO VENOSO;L29;18,59;12,32
655;89.7;VISITA GENERALE;V10;20,66;20,66
656;90.01.1;11 DEOSSICORTISOLO;L29;16,37;14,73
657;90.01.2;17 ALFA IDROSSIPROGESTERONE (17 OH-P);L29;10,64;10,53
658;90.01.3;17 CHETOSTEROIDI [dU];L29;10,69;10,58
659;90.01.4;17 IDROSSICORTICOIDI [dU];L29;11,36;11,25
660;90.01.5;ACIDI BILIARI;L29;9,14;9,05
661;90.02.1;ACIDO 5 IDROSSI 3 INDOLACETICO  [dU];L29;15,96;15,80
662;90.02.2;ACIDO CITRICO ;L29;4,13;4,09
663;90.02.3;ACIDO DELTA AMINOLEVULINICO (ALA);L29;9,61;9,51
664;90.02.4;ACIDO IPPURICO;L29;5,84;5,78
665;90.02.5;ACIDO LATTICO;L21;5,32;4,84
666;90.03.1;ACIDO PARA AMINOIPPURICO (PAI);L29;7,80;7,02
667;90.03.2;ACIDO PIRUVICO;L21;3,98;2,79
668;90.03.3;ACIDO SIALICO;L29;13,94;12,55
669;90.03.4;ACIDO VALPROICO;L29;9,30;10,88
670;90.03.5;ACIDO VANILMANDELICO (VMA) [dU];L29;20,61;18,55
671;90.04.1;ADIURETINA (ADH);L29;9,14;20,57
672;90.04.2;ADRENALINA - NORADRENALINA [P] ;L29;22,88;22,65
673;90.04.3;ADRENALINA - NORADRENALINA [U];L29;22,88;20,59
674;90.04.4;ALA DEIDRASI ERITROCITARIA;L29;5,22;4,70
675;90.04.5;ALANINA AMINOTRANSFERASI (ALT) (GPT) [S/U];L21;1,14;1,00
676;90.05.1;ALBUMINA [S/U/dU];L21;2,58;1,42
677;90.05.2;ALDOLASI [S];L21;2,79;1,95
678;90.05.3;ALDOSTERONE [S/U];L29;14,62;17,11
679;90.05.4;ALFA 1 ANTITRIPSINA [S];L21;6,30;5,30
680;90.05.5;ALFA 1 FETOPROTEINA [S/La/Alb];L21;10,79;7,40
681;90.06.1;ALFA 1 GLICOPROTEINA ACIDA [S];L21;7,59;5,31
682;90.06.2;ALFA 1 MICROGLOBULINA [S/U];L21;10,85;5,30
683;90.06.3;ALFA 2 MACROGLOBULINA;L21;4,18;5,30
684;90.06.4;ALFA AMILASI [S/U];L21;2,43;1,84
685;90.06.5;ALFA AMILASI ISOENZIMI (Frazione pancreatica);L21;5,22;3,65
686;90.07.1;ALLUMINIO [S/U];L29;9,09;8,18
687;90.07.2;AMINOACIDI DOSAGGIO SINGOLO [S/U/Sg/P];L29;3,46;3,11
688;90.07.3;AMINOACIDI TOTALI [S/U/Sg/P];L29;12,86;11,57
689;90.07.4;AMITRIPTILINA;L29;7,33;7,85
690;90.07.5;AMMONIO [P];L21;9,09;6,36
691;90.08.1;ANDROSTENEDIOLO GLUCURONIDE [S];L29;12,50;14,63
692;90.08.2;ANGIOTENSINA II;L29;13,94;12,55
693;90.08.3;ANTIBIOTICI;L29;7,33;8,91
694;90.08.4;APOLIPOPROTEINA ALTRA;L21;6,09;5,30
695;90.08.5;APOLIPOPROTEINA B;L21;5,94;5,30
696;90.09.1;APTOGLOBINA;L21;4,65;5,30
697;90.09.2;ASPARTATO AMINOTRANSFERASI  (AST) (GOT) [S];L21;1,14;1,04
698;90.09.3;BARBITURICI;L29;8,01;7,36
699;90.09.4;BENZODIAZEPINE;L29;8,83;10,33
700;90.09.5;BENZOLO;L29;9,19;8,27
701;90.10.1;BETA2 MICROGLOBULINA [S/U];L21;10,79;5,30
702;90.10.2;BICARBONATI (Idrogenocarbonato);L21;0,72;0,50
703;90.10.3;BILIRUBINA (Curva spettrofotometrica nel liquido amniotico);L29;0,88;0,94
704;90.10.4;BILIRUBINA TOTALE;L21;1,24;1,13
705;90.10.5;BILIRUBINA TOTALE E FRAZIONATA;L21;1,55;1,41
706;90.11.1;C PEPTIDE;L21;11,57;12,15
707;90.11.2;C PEPTIDE: Dosaggi seriati dopo test di stimolo ( 5 );L21;48,24;50,65
708;90.11.3;CADMIO;L29;9,09;8,18
709;90.11.4;CALCIO TOTALE [S/U/dU];L21;1,24;1,13
710;90.11.5;CALCITONINA ;L29;14,56;14,41
711;90.12.1;CALCOLI E CONCREZIONI (Ricerca semiquantitativa);L21;10,07;8,54
712;90.12.2;CALCOLI ESAME CHIMICO DI BASE (Ricerca qualitativa);L21;5,32;4,62
713;90.12.3;CARBAMAZEPINA;L29;13,38;12,04
714;90.12.4;CATECOLAMINE TOTALI URINARIE;L29;12,60;11,34
715;90.12.5;CERULOPLASMINA;L21;5,68;5,30
716;90.13.1;CHIMOTRIPSINA [Feci];L21;5,42;4,93
717;90.13.2;CICLOSPORINA;L29;16,27;14,64
718;90.13.3;CLORURO [S/U/dU];L21;1,24;1,13
719;90.13.4;CLORURO, SODIO E POTASSIO [Sd] (Stimolazione con Pilocarpina);L29;8,42;9,02
720;90.13.5;COBALAMINA (VIT. B12) [S];L21;9,09;7,32
721;90.14.1;COLESTEROLO HDL;L21;1,86;1,43
722;90.14.2;COLESTEROLO LDL;L21;0,67;0,67
723;90.14.3;COLESTEROLO TOTALE ;L21;1,14;1,04
724;90.14.4;COLINESTERASI (PSEUDO-CHE);L21;1,55;1,36
725;90.14.5;COPROPORFIRINE ;L29;6,40;5,76
726;90.15.1;CORPI CHETONICI;L21;0,77;0,54
727;90.15.2;CORTICOTROPINA (ACTH) [P] ;L29;20,55;18,50
728;90.15.3;CORTISOLO [S/U];L21;10,64;7,79
729;90.15.4;CREATINCHINASI (CPK o CK);L21;1,96;1,44
730;90.15.5;CREATINCHINASI ISOENZIMA MB (CK-MB);L21;3,72;4,17
731;90.16.1;CREATINCHINASI ISOENZIMI ;L29;2,79;2,61
732;90.16.2;CREATINCHINASI ISOFORME;L29;12,55;11,30
733;90.16.3;CREATININA [S/U/dU/La];L21;1,24;1,13
734;90.16.4;CREATININA CLEARANCE;L21;1,76;1,60
735;90.16.5;CROMO;L29;9,09;8,18
736;90.17.1;DEIDROEPIANDROSTERONE (DEA) ;L21;10,69;9,27
737;90.17.2;DEIDROEPIANDROSTERONE SOLFATO (DEA-S);L29;15,39;15,55
738;90.17.3;DELTA 4 ANDROSTENEDIONE;L29;9,61;12,97
739;90.17.4;DESIPRAMINA;L29;7,33;7,85
740;90.17.5;DIIDROTESTOSTERONE (DHT) ;L29;22,88;20,59
741;90.18.1;DOPAMINA [S/U] ;L29;13,32;15,58
742;90.18.2;DOXEPINA;L29;7,33;6,60
743;90.18.3;DROGHE D'ABUSO;L29;5,99;5,39
744;90.18.4;ENOLASI NEURONESPECIFICA (NSE) ;L29;18,44;16,60
745;90.18.5;ERITROPOIETINA;L29;17,66;20,66
746;90.19.1;ESTERI ORGANOFOSFORICI;L29;5,42;4,88
747;90.19.2;ESTRADIOLO (E2) [S/U];L21;13,01;9,11
748;90.19.3;ESTRIOLO (E3) [S/U];L29;7,70;6,93
749;90.19.4;ESTRIOLO NON CONIUGATO ;L29;9,19;8,27
750;90.19.5;ESTRONE (E1);L29;15,13;14,98
751;90.20.1;ETANOLO;L29;5,78;6,80
752;90.20.2;ETOSUCCIMIDE;L29;9,09;10,64
753;90.20.3;FARMACI ANTIARITMICI;L29;9,09;10,64
754;90.20.4;FARMACI ANTIINFIAMMATORI;L29;7,23;8,80
755;90.20.5;FARMACI ANTITUMORALI;L29;9,35;11,39
756;90.21.1;FARMACI DIGITALICI ;L29;11,10;9,99
757;90.21.2;FATTORE NATRIURETICO ATRIALE;L29;9,14;24,68
758;90.21.3;FECI ESAME CHIMICO E MICROSCOPICO (Grassi, prod. di digestione, parassiti);L51;4,91;6,14
759;90.21.4;FECI SANGUE OCCULTO;L21;3,87;3,52
760;90.21.5;FENILALANINA;L29;3,46;3,11
761;90.22.1;FENITOINA;L29;10,85;10,74
762;90.22.2;FENOLO [U];L29;3,56;3,20
763;90.22.3;FERRITINA [P/(Sg)Er];L21;9,09;6,36
764;90.22.4;FERRO [dU];L29;5,32;4,79
765;90.22.5;FERRO [S];L21;1,55;1,14
766;90.23.1;FLUORO;L29;6,25;5,63
767;90.23.2;FOLATO [S/(Sg)Er];L21;9,09;6,36
768;90.23.3;FOLLITROPINA (FSH) [S/U];L21;6,82;6,21
769;90.23.4;FOSFATASI ACIDA;L29;1,76;1,66
770;90.23.5;FOSFATASI ALCALINA;L21;1,39;1,04
771;90.24.1;FOSFATASI ALCALINA ISOENZIMA OSSEO;L29;10,54;12,33
772;90.24.2;FOSFATASI PROSTATICA (PAP);L29;11,31;10,18
773;90.24.3;FOSFATO INORGANICO [S/U/dU];L21;1,60;1,46
774;90.24.4;FOSFOESOSOISOMERASI (PHI);L29;1,08;0,97
775;90.24.5;FOSFORO;L21;0,98;1,46
776;90.25.1;FRUTTOSAMINA (PROTEINE GLICATE) [S];L21;3,15;2,21
777;90.25.2;FRUTTOSIO [Ls];L29;4,13;7,43
778;90.25.3;GALATTOSIO (Prova da carico);L29;6,92;12,46
779;90.25.4;GALATTOSIO [S/U];L29;2,12;3,82
780;90.25.5;GAMMA GLUTAMIL TRANSPEPTIDASI (gamma GT) [S/U];L21;1,24;1,13
781;90.26.1;GASTRINA [S];L29;11,62;14,08
782;90.26.2;GLOBULINA LEGANTE LA TIROXINA (TBG) ;L29;7,44;6,70
783;90.26.3;GLUCAGONE [S];L29;8,31;8,23
784;90.26.4;GLUCOSIO (Curva da carico 3 determinazioni);L21;2,43;2,38
785;90.26.5;GLUCOSIO (Curva da carico 6 determinazioni);L21;4,75;3,33
786;90.27.1;GLUCOSIO [S/P/U/dU/La];L21;1,29;1,17
787;90.27.2;GLUCOSIO 6 FOSFATO DEIDROGENASI (G6PDH) [(Sg)Er];L21;9,30;7,16
788;90.27.3;GONADOTROPINA CORIONICA (Prova immunologica di gravidanza [U];L21;6,61;6,02
789;90.27.4;GONADOTROPINA CORIONICA (Subunità beta frazione libera) [S/U];L21;12,60;11,47
790;90.27.5;GONADOTROPINA CORIONICA (Subunità beta, molecola intera);L21;14,25;9,98
791;90.28.1;Hb - EMOGLOBINA GLICATA;L21;10,59;7,41
792;90.28.2;IDROSSIPROLINA [U];L29;17,82;16,04
793;90.28.3;IMIPRAMINA;L29;14,25;14,11
794;90.28.4;IMMUNOGLOBULINE: CATENE KAPPA E LAMBDA [S/U];L21;9,30;10,60
795;90.28.5;INSULINA (Curva da carico o dopo test farmacologici, max. 5);L21;30,57;27,82
796;90.29.1;INSULINA [S];L21;9,61;8,75
797;90.29.2;LATTATO DEIDROGENASI (LDH) [S/F];L21;1,24;1,13
798;90.29.3;LATTE MULIEBRE ;L29;3,98;3,58
799;90.29.4;LATTOSIO [U/Ls];L29;2,53;3,42
800;90.29.5;LEUCIN AMINO PEPTIDASI (LAP) [S];L29;2,79;2,51
801;90.30.1;LEVODOPA;L29;7,33;7,85
802;90.30.2;LIPASI [S];L21;3,20;2,58
803;90.30.3;LIPOPROTEINA (a);L29;13,63;12,27
804;90.30.4;LIQUIDI DA VERSAMENTI ESAME CHIMICO FISICO E MICROSCOPICO;L29;3,98;5,89
805;90.30.5;LIQUIDO AMNIOTICO ENZIMI;L29;1,03;1,10
806;90.31.1;LIQUIDO AMNIOTICO FOSFOLIPIDI (Cromatografia);L29;11,36;10,22
807;90.31.2;LIQUIDO AMNIOTICO RAPPORTO LECITINA/SFINGOMIELINA;L29;17,66;15,89
808;90.31.3;LIQUIDO AMNIOTICO TEST ALLA SCHIUMA DI CLEMENTS;L29;1,03;0,93
809;90.31.4;LIQUIDO SEMINALE ESAME MORFOLOGICO E INDICE DI FERTILITA';L29;4,18;5,12
810;90.31.5;LIQUIDO SEMINALE PROVE DI VALUTAZIONE DELLA FERTILITA';L29;7,59;8,13
811;90.32.1;LIQUIDO SINOVIALE ESAME CHIMICO FISICO E MICROSCOPICO;L29;2,58;3,48
812;90.32.2;LITIO [P];L21;4,13;3,47
813;90.32.3;LUTEOTROPINA (LH) [S/U];L21;10,28;7,20
814;90.32.4;LUTEOTROPINA (LH) E FOLLITROPINA (FSH): Dosaggi seriati dopo GNRH o altro stimolo ( 5 ) ;L21;55,88;39,12
815;90.32.5;MAGNESIO TOTALE [S/U/dU/(Sg)Er];L21;1,70;1,55
816;90.33.1;MANGANESE [S];L29;6,25;5,63
817;90.33.2;MEPROBAMATO;L29;7,33;8,58
818;90.33.3;MERCURIO;L29;9,09;8,18
819;90.33.4;MICROALBUMINURIA;L21;4,65;4,11
820;90.33.5;MIOGLOBINA [S/U];L21;7,59;6,92
821;90.34.1;NEOPTERINA;L29;10,90;11,05
822;90.34.2;NICHEL;L29;10,12;9,11
823;90.34.3;NORTRIPTILINA;L29;5,42;5,49
824;90.34.4;OLIGOELEMENTI: DOSAGGIO PLASMATICO;L29;6,92;6,23
825;90.34.5;ORMONE LATTOGENO PLACENTARE O SOMATOMAMMOTROPINA (HPL) [S];L29;11,00;10,89
826;90.35.1;ORMONE SOMATOTROPO (GH) [P/U];L29;10,59;10,48
827;90.35.2;ORMONI: Dosaggi seriati dopo stimolo ( 5 ) ;L21;33,05;41,06
828;90.35.3;OSSALATI [U];L21;8,93;6,25
829;90.35.4;OSTEOCALCINA (BGP);L29;25,41;27,21
830;90.35.5;PARATORMONE (PTH) [S];L29;21,02;18,92
831;90.36.1;PARATORMONE RELATED PEPTIDE [S];L29;6,25;5,63
832;90.36.2;pH EMATICO;L21;7,44;5,21
833;90.36.3;PIOMBO [S/U];L29;20,25;18,23
834;90.36.4;PIRUVATOCHINASI (PK) [(Sg)Er];L29;7,85;8,48
835;90.36.5;POLIPEPTIDE INTESTINALE VASOATTIVO (VIP);L29;6,25;7,31
836;90.37.1;PORFIRINE (Ricerca qualitativa e quantitativa);L29;13,32;13,19
837;90.37.2;PORFOBILINOGENO [U];L29;5,94;5,88
838;90.37.3;POST COITAL TEST;L29;2,79;17,58
839;90.37.4;POTASSIO [S/U/dU/(Sg)Er];L21;1,24;1,02
840;90.37.5;PRIMIDONE;L29;9,09;10,64
841;90.38.1;PROGESTERONE [S];L21;12,45;9,13
842;90.38.2;PROLATTINA (PRL) [S];L21;9,66;7,13
843;90.38.3;PROLATTINA (PRL): Dosaggi seriati dopo TRH  ( 5 );L21;28,15;19,71
844;90.38.4;PROTEINE (ELETTROFORESI DELLE) [S];L21;4,65;4,23
845;90.38.5;PROTEINE [S/U/dU/La];L21;1,24;1,13
846;90.39.1;PROTEINE URINARIE (ELETTROFORESI DELLE);L21;4,65;4,23
847;90.39.2;PROTOPORFIRINA IX ERITROCITARIA;L29;7,70;7,62
848;90.39.3;PURINE E LORO METABOLITI;L29;10,54;10,43
849;90.39.4;RAME [S/U];L29;4,96;4,69
850;90.39.5;RECETTORI DEGLI ESTROGENI;L29;21,17;19,05
851;90.40.1;RECETTORI DEL PROGESTERONE;L29;17,56;15,80
852;90.40.2;RENINA [P];L29;25,82;23,24
853;90.40.3;SELENIO;L29;6,92;6,23
854;90.40.4;SODIO [S/U/dU/(Sg)Er];L21;1,24;1,02
855;90.40.5;SUCCO GASTRICO ESAME CHIMICO COMPLETO;L29;4,65;4,19
856;90.41.1;SUDORE (Esame con determinazione di Na+ e K+);L29;0,88;9,85
857;90.41.2;TEOFILLINA;L21;11,00;12,36
858;90.41.3;TESTOSTERONE [P/U];L21;12,14;9,78
859;90.41.4;TESTOSTERONE LIBERO;L29;15,80;14,22
860;90.41.5;TIREOGLOBULINA (Tg);L21;15,65;13,34
861;90.42.1;TIREOTROPINA (TSH);L21;7,80;5,46
862;90.42.2;TIREOTROPINA (TSH): Dosaggi seriati dopo TRH ( 4 ) ;L21;23,24;16,27
863;90.42.3;TIROXINA LIBERA (FT4);L21;9,09;6,36
864;90.42.4;TRANSFERRINA (Capacità ferrolegante);L21;3,98;3,62
865;90.42.5;TRANSFERRINA [S];L21;5,16;4,78
866;90.43.1;TRI TEST: ALFA 1 FETO, GONADOTROPINA CORIONICA ED ESTRIOLO LIBERO;L29;19,94;23,33
867;90.43.2;TRIGLICERIDI;L21;1,29;1,17
868;90.43.3;TRIODOTIRONINA LIBERA (FT3);L21;9,14;6,40
869;90.43.4;TRIPSINA [S/U];L21;10,48;9,54
870;90.43.5;URATO [S/U/dU];L21;1,24;1,13
871;90.44.1;UREA [S/P/U/dU];L21;1,24;1,13
872;90.44.2;URINE CONTA DI ADDIS;L21;3,87;3,52
873;90.44.3;URINE ESAME CHIMICO FISICO E MICROSCOPICO;L21;2,07;2,17
874;90.44.4;URINE ESAME PARZIALE (Acetone e glucosio quantitativo);L21;0,72;0,50
875;90.44.5;VITAMINA D;L29;16,27;15,86
876;90.45.1;VITAMINE IDROSOLUBILI: DOSAGGIO PLASMATICO;L29;10,43;11,17
877;90.45.2;VITAMINE LIPOSOLUBILI: DOSAGGIO PLASMATICO;L29;10,43;11,17
878;90.45.3;XILOSIO (Test di assorbimento);L29;5,94;15,91
879;90.45.4;ZINCO [S/U];L29;6,25;5,63
880;90.45.5;ZINCOPROTOPORFIRINA [(Sg)Er];L29;8,52;8,43
881;90.46.3;AGGLUTININE A FREDDO;L41;7,44;7,44
882;90.46.4;ALFA 2 ANTIPLASMINA;L39;8,78;9,66
883;90.46.5;ANTICOAGULANTE LUPUS-LIKE (LAC);L29;4,65;6,70
884;90.47.1;ANTICOAGULANTI ACQUISITI RICERCA;L39;4,65;6,05
885;90.47.2;ANTICORPI ANTI A/B;L49;4,18;4,18
886;90.47.3;ANTICORPI ANTI ANTIGENI NUCLEARI ESTRAIBILI (ENA);L29;13,32;13,19
887;90.47.4;ANTICORPI ANTI CANALE DEL CALCIO;L29;11,41;11,30
888;90.47.5;ANTICORPI ANTI CARDIOLIPINA (IgG, IgA, IgM);L29;12,55;12,42
889;90.48.1;ANTICORPI ANTI CELLULE PARIETALI GASTRICHE (PCA);L29;8,37;8,29
890;90.48.2;ANTICORPI ANTI CITOPLASMA DEI NEUTROFILI (ANCA);L29;11,41;10,27
891;90.48.3;ANTICORPI ANTI DNA NATIVO;L29;11,88;10,69
892;90.48.4;ANTICORPI ANTI ERITROCITARI (Caratterizzazione del range termico) ;L49;1,76;1,76
893;90.48.5;ANTICORPI ANTI ERITROCITARI (Con mezzo potenziante);L49;8,37;8,37
894;90.49.1;ANTICORPI ANTI ERITROCITARI (Titolazione) ;L49;18,90;18,90
895;90.49.2;ANTICORPI ANTI ERITROCITARI IDENTIFICAZIONE;L49;24,27;24,27
896;90.49.3;ANTICORPI ANTI ERITROCITI [Test di Coombs indiretto];L29;9,30;8,37
897;90.49.4;ANTICORPI ANTI FATTORE VIII;L39;11,41;11,41
898;90.49.5;ANTICORPI ANTI GLIADINA (IgG, IgA);L29;11,41;10,27
899;90.50.1;ANTICORPI ANTI HLA (Cross-match, singolo individuo, urgente);L49;35,84;35,84
900;90.50.2;ANTICORPI ANTI HLA (Titolo per singola specificità);L49;35,84;35,84
901;90.50.3;ANTICORPI ANTI HLA CONTRO PANNELLO LINFOCITARIO (almeno 10 soggetti, urgente);L49;20,97;20,97
902;90.50.4;ANTICORPI ANTI HLA CONTRO SOSPENSIONI LINFOCITARIE (almeno 10 soggetti);L49;18,80;18,80
903;90.50.5;ANTICORPI ANTI INSULA PANCREATICA (ICA);L29;8,62;7,76
904;90.51.1;ANTICORPI ANTI INSULINA (AIAA);L29;12,19;12,07
905;90.51.2;ANTICORPI ANTI LEUCOCITI ;L39;41,88;41,88
906;90.51.3;ANTICORPI ANTI MAG;L29;11,41;10,27
907;90.51.4;ANTICORPI ANTI MICROSOMI (AbTMS) O ANTI TIREOPEROSSIDASI (AbTPO);L29;11,41;11,30
908;90.51.5;ANTICORPI ANTI MICROSOMI EPATICI E RENALI (LKMA);L29;8,26;8,18
909;90.52.1;ANTICORPI ANTI MITOCONDRI (AMA);L29;9,45;9,36
910;90.52.2;ANTICORPI ANTI MUSCOLO LISCIO (ASMA);L29;7,44;7,37
